"Ferierejser";"Mindst fire overnatninger";"Fly";"2020";72364
"Ferierejser";"Mindst fire overnatninger";"Fly";"2021";41173
"Ferierejser";"Mindst fire overnatninger";"Fly";"2022";46474
"Ferierejser";"Mindst fire overnatninger";"Fly";"2023";29334
"Ferierejser";"Mindst fire overnatninger";"Bus";"2017";115439
"Ferierejser";"Mindst fire overnatninger";"Bus";"2018";92141
"Ferierejser";"Mindst fire overnatninger";"Bus";"2019";116379
"Ferierejser";"Mindst fire overnatninger";"Bus";"2020";272130
"Ferierejser";"Mindst fire overnatninger";"Bus";"2021";141372
"Ferierejser";"Mindst fire overnatninger";"Bus";"2022";48192
"Ferierejser";"Mindst fire overnatninger";"Bus";"2023";82712
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2017";..
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2018";..
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2019";0
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2020";0
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2021";0
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2022";0
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2023";0
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2017";..
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2018";..
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2019";0
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2020";0
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2021";0
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2022";0
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2023";0
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2017";29832
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2018";21915
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2019";32972
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2020";67229
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2021";38543
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2022";19415
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2023";13786
