"Flyvninger i alt";"2010M11";1025;216;809
"Flyvninger i alt";"2010M12";940;180;760
"Flyvninger i alt";"2011M01";923;178;745
"Flyvninger i alt";"2011M02";937;178;759
"Flyvninger i alt";"2011M03";1090;211;880
"Flyvninger i alt";"2011M04";1126;190;937
"Flyvninger i alt";"2011M05";1256;219;1036
"Flyvninger i alt";"2011M06";1382;205;1177
"Flyvninger i alt";"2011M07";1437;172;1264
"Flyvninger i alt";"2011M08";1268;193;1076
"Flyvninger i alt";"2011M09";1327;212;1115
"Flyvninger i alt";"2011M10";1273;203;1069
"Flyvninger i alt";"2011M11";1059;202;857
"Flyvninger i alt";"2011M12";981;169;812
"Flyvninger i alt";"2012M01";961;164;797
"Flyvninger i alt";"2012M02";984;161;823
"Flyvninger i alt";"2012M03";1167;187;980
"Flyvninger i alt";"2012M04";1125;162;963
"Flyvninger i alt";"2012M05";1212;141;1071
"Flyvninger i alt";"2012M06";1391;151;1240
"Flyvninger i alt";"2012M07";1446;116;1330
"Flyvninger i alt";"2012M08";1252;141;1110
"Flyvninger i alt";"2012M09";1320;166;1154
"Flyvninger i alt";"2012M10";1285;176;1110
"Flyvninger i alt";"2012M11";1067;171;895
"Flyvninger i alt";"2012M12";974;133;842
"Flyvninger i alt";"2013M01";937;134;803
"Flyvninger i alt";"2013M02";961;132;829
"Flyvninger i alt";"2013M03";1146;141;1004
"Flyvninger i alt";"2013M04";1160;157;1003
"Flyvninger i alt";"2013M05";1304;169;1134
"Flyvninger i alt";"2013M06";1474;169;1305
"Flyvninger i alt";"2013M07";1524;137;1387
"Flyvninger i alt";"2013M08";1331;154;1177
"Flyvninger i alt";"2013M09";1368;174;1194
"Flyvninger i alt";"2013M10";1336;175;1162
"Flyvninger i alt";"2013M11";1071;167;904
"Flyvninger i alt";"2013M12";1023;140;883
"Flyvninger i alt";"2014M01";974;138;835
"Flyvninger i alt";"2014M02";998;137;861
"Flyvninger i alt";"2014M03";1183;167;1017
"Flyvninger i alt";"2014M04";1305;157;1148
"Flyvninger i alt";"2014M05";1402;175;1227
"Flyvninger i alt";"2014M06";1562;178;1384
"Flyvninger i alt";"2014M07";1612;139;1473
"Flyvninger i alt";"2014M08";1415;159;1256
"Flyvninger i alt";"2014M09";1438;179;1259
"Flyvninger i alt";"2014M10";1406;176;1230
"Flyvninger i alt";"2014M11";1080;156;924
"Flyvninger i alt";"2014M12";1045;134;911
"Flyvninger i alt";"2015M01";979;129;851
"Flyvninger i alt";"2015M02";1001;131;869
"Flyvninger i alt";"2015M03";1242;159;1083
"Flyvninger i alt";"2015M04";1227;149;1078
"Flyvninger i alt";"2015M05";1387;160;1227
"Flyvninger i alt";"2015M06";1580;178;1402
"Flyvninger i alt";"2015M07";1675;136;1538
"Flyvninger i alt";"2015M08";1491;159;1332
"Flyvninger i alt";"2015M09";1522;173;1348
"Flyvninger i alt";"2015M10";1486;169;1317
"Flyvninger i alt";"2015M11";1202;167;1034
"Flyvninger i alt";"2015M12";1161;145;1016
"Flyvninger i alt";"2016M01";1092;135;957
"Flyvninger i alt";"2016M02";1155;140;1015
"Flyvninger i alt";"2016M03";1343;162;1181
"Flyvninger i alt";"2016M04";1345;161;1184
"Flyvninger i alt";"2016M05";1526;178;1348
"Flyvninger i alt";"2016M06";1716;186;1530
"Flyvninger i alt";"2016M07";1813;144;1669
"Flyvninger i alt";"2016M08";1572;165;1407
"Flyvninger i alt";"2016M09";1633;183;1450
"Flyvninger i alt";"2016M10";1599;175;1424
"Flyvninger i alt";"2016M11";1266;172;1094
"Flyvninger i alt";"2016M12";1242;148;1094
"Flyvninger i alt";"2017M01";1165;142;1023
"Flyvninger i alt";"2017M02";1168;133;1035
"Flyvninger i alt";"2017M03";1350;166;1184
"Flyvninger i alt";"2017M04";1415;146;1269
"Flyvninger i alt";"2017M05";1544;170;1374
"Flyvninger i alt";"2017M06";1738;174;1564
"Flyvninger i alt";"2017M07";1822;131;1692
"Flyvninger i alt";"2017M08";1593;160;1433
"Flyvninger i alt";"2017M09";1643;173;1471
"Flyvninger i alt";"2017M10";1589;170;1419
"Flyvninger i alt";"2017M11";1240;163;1077
"Flyvninger i alt";"2017M12";1209;138;1071
"Flyvninger i alt";"2018M01";1146;135;1010
"Flyvninger i alt";"2018M02";1176;131;1045
"Flyvninger i alt";"2018M03";1449;156;1293
"Flyvninger i alt";"2018M04";1445;159;1287
"Flyvninger i alt";"2018M05";1645;172;1473
