"Ferierejser";"Mindst fire overnatninger";"Fly";"2021";1334118
"Ferierejser";"Mindst fire overnatninger";"Fly";"2022";2580041
"Ferierejser";"Mindst fire overnatninger";"Fly";"2023";2850081
"Ferierejser";"Mindst fire overnatninger";"Bus";"2017";202183
"Ferierejser";"Mindst fire overnatninger";"Bus";"2018";112069
"Ferierejser";"Mindst fire overnatninger";"Bus";"2019";218989
"Ferierejser";"Mindst fire overnatninger";"Bus";"2020";132939
"Ferierejser";"Mindst fire overnatninger";"Bus";"2021";45100
"Ferierejser";"Mindst fire overnatninger";"Bus";"2022";148121
"Ferierejser";"Mindst fire overnatninger";"Bus";"2023";165747
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2017";..
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2018";..
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2019";0
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2020";0
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2021";0
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2022";0
"Ferierejser";"Mindst fire overnatninger";"Sejlbåd";"2023";0
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2017";..
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2018";..
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2019";0
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2020";0
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2021";0
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2022";0
"Ferierejser";"Mindst fire overnatninger";"Cykel";"2023";0
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2017";2415
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2018";6894
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2019";28908
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2020";5348
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2021";3896
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2022";20914
"Ferierejser";"Mindst fire overnatninger";"Andre transportmidler";"2023";12400
