"I alt";"2008M09";1197
"I alt";"2008M10";1137
"I alt";"2008M11";892
"I alt";"2008M12";813
"I alt";"2009M01";788
"I alt";"2009M02";797
"I alt";"2009M03";930
"I alt";"2009M04";966
"I alt";"2009M05";1040
"I alt";"2009M06";1214
"I alt";"2009M07";1230
"I alt";"2009M08";1105
"I alt";"2009M09";1129
"I alt";"2009M10";1118
"I alt";"2009M11";917
"I alt";"2009M12";853
"I alt";"2010M01";849
"I alt";"2010M02";899
"I alt";"2010M03";1117
"I alt";"2010M04";779
"I alt";"2010M05";1178
"I alt";"2010M06";1353
"I alt";"2010M07";1407
"I alt";"2010M08";1253
"I alt";"2010M09";1278
"I alt";"2010M10";1275
"I alt";"2010M11";1025
"I alt";"2010M12";940
"I alt";"2011M01";923
"I alt";"2011M02";937
"I alt";"2011M03";1090
"I alt";"2011M04";1126
"I alt";"2011M05";1256
"I alt";"2011M06";1382
"I alt";"2011M07";1437
"I alt";"2011M08";1268
"I alt";"2011M09";1327
"I alt";"2011M10";1273
"I alt";"2011M11";1059
"I alt";"2011M12";981
"I alt";"2012M01";961
"I alt";"2012M02";984
"I alt";"2012M03";1167
"I alt";"2012M04";1125
"I alt";"2012M05";1212
"I alt";"2012M06";1391
"I alt";"2012M07";1446
"I alt";"2012M08";1252
"I alt";"2012M09";1320
"I alt";"2012M10";1285
"I alt";"2012M11";1067
"I alt";"2012M12";974
"I alt";"2013M01";937
"I alt";"2013M02";961
"I alt";"2013M03";1146
"I alt";"2013M04";1160
"I alt";"2013M05";1304
"I alt";"2013M06";1474
"I alt";"2013M07";1524
"I alt";"2013M08";1331
"I alt";"2013M09";1368
"I alt";"2013M10";1336
"I alt";"2013M11";1071
"I alt";"2013M12";1023
"I alt";"2014M01";974
"I alt";"2014M02";998
"I alt";"2014M03";1183
"I alt";"2014M04";1305
"I alt";"2014M05";1402
"I alt";"2014M06";1562
"I alt";"2014M07";1612
"I alt";"2014M08";1415
"I alt";"2014M09";1438
"I alt";"2014M10";1406
"I alt";"2014M11";1080
"I alt";"2014M12";1045
"I alt";"2015M01";979
"I alt";"2015M02";1001
"I alt";"2015M03";1242
"I alt";"2015M04";1227
"I alt";"2015M05";1387
"I alt";"2015M06";1580
"I alt";"2015M07";1675
"I alt";"2015M08";1491
"I alt";"2015M09";1522
"I alt";"2015M10";1486
"I alt";"2015M11";1202
"I alt";"2015M12";1161
"I alt";"2016M01";1092
"I alt";"2016M02";1155
"I alt";"2016M03";1343
"I alt";"2016M04";1345
"I alt";"2016M05";1526
"I alt";"2016M06";1716
"I alt";"2016M07";1813
"I alt";"2016M08";1572
"I alt";"2016M09";1633
"I alt";"2016M10";1599
"I alt";"2016M11";1266
"I alt";"2016M12";1242
"I alt";"2017M01";1165
"I alt";"2017M02";1168
"I alt";"2017M03";1350
"I alt";"2017M04";1415
"I alt";"2017M05";1544
"I alt";"2017M06";1738
"I alt";"2017M07";1822
"I alt";"2017M08";1593
"I alt";"2017M09";1643
"I alt";"2017M10";1589
"I alt";"2017M11";1240
"I alt";"2017M12";1209
"I alt";"2018M01";1146
"I alt";"2018M02";1176
"I alt";"2018M03";1449
"I alt";"2018M04";1445
"I alt";"2018M05";1645
"I alt";"2018M06";1829
"I alt";"2018M07";1924
"I alt";"2018M08";1669
"I alt";"2018M09";1713
"I alt";"2018M10";1647
"I alt";"2018M11";1291
"I alt";"2018M12";1251
"I alt";"2019M01";1163
"I alt";"2019M02";1191
"I alt";"2019M03";1402
"I alt";"2019M04";1500
"I alt";"2019M05";1608
"I alt";"2019M06";1816
"I alt";"2019M07";1895
"I alt";"2019M08";1695
"I alt";"2019M09";1724
"I alt";"2019M10";1651
"I alt";"2019M11";1276
"I alt";"2019M12";1276
"I alt";"2020M01";1161
"I alt";"2020M02";1188
"I alt";"2020M03";469
"I alt";"2020M04";16
"I alt";"2020M05";28
"I alt";"2020M06";105
"I alt";"2020M07";376
"I alt";"2020M08";379
"I alt";"2020M09";321
"I alt";"2020M10";256
"I alt";"2020M11";125
"I alt";"2020M12";176
"I alt";"2021M01";106
"I alt";"2021M02";73
"I alt";"2021M03";105
"I alt";"2021M04";117
"I alt";"2021M05";175
"I alt";"2021M06";365
"I alt";"2021M07";837
"I alt";"2021M08";756
"I alt";"2021M09";849
"I alt";"2021M10";992
"I alt";"2021M11";813
"I alt";"2021M12";715
"I alt";"2022M01";483
"I alt";"2022M02";641
"I alt";"2022M03";885
"I alt";"2022M04";1148
"I alt";"2022M05";1326
"I alt";"2022M06";1494
"I alt";"2022M07";1590
"I alt";"2022M08";1408
"I alt";"2022M09";1471
"I alt";"2022M10";1423
"I alt";"2022M11";1052
"I alt";"2022M12";1061
"I alt";"2023M01";937
"I alt";"2023M02";994
"I alt";"2023M03";1215
"I alt";"2023M04";1335
"I alt";"2023M05";1500
"I alt";"2023M06";1629
"I alt";"2023M07";1792
"I alt";"2023M08";1546
"I alt";"2023M09";1610
"I alt";"2023M10";1581
"I alt";"2023M11";1150
"I alt";"2023M12";1189
"I alt";"2024M01";1005
"I alt";"2024M02";1099
"I alt";"2024M03";1340
"I alt";"2024M04";1425
"I alt";"2024M05";1663
"I alt";"2024M06";1781
"I alt";"2024M07";1965
"I alt";"2024M08";1706
"I alt";"2024M09";1756
"I alt";"2024M10";1671
"I alt";"2024M11";1264
"I alt";"2024M12";1319
