"I alt";"2001M01";787
"I alt";"2001M02";779
"I alt";"2001M03";933
"I alt";"2001M04";901
"I alt";"2001M05";999
"I alt";"2001M06";1109
"I alt";"2001M07";1068
"I alt";"2001M08";1048
"I alt";"2001M09";1014
"I alt";"2001M10";907
"I alt";"2001M11";785
"I alt";"2001M12";697
"I alt";"2002M01";732
"I alt";"2002M02";744
"I alt";"2002M03";887
"I alt";"2002M04";906
"I alt";"2002M05";974
"I alt";"2002M06";1116
"I alt";"2002M07";1038
"I alt";"2002M08";1009
"I alt";"2002M09";1034
"I alt";"2002M10";979
"I alt";"2002M11";811
"I alt";"2002M12";731
"I alt";"2003M01";717
"I alt";"2003M02";723
"I alt";"2003M03";844
"I alt";"2003M04";830
"I alt";"2003M05";933
"I alt";"2003M06";1076
"I alt";"2003M07";1001
"I alt";"2003M08";997
"I alt";"2003M09";1009
"I alt";"2003M10";975
"I alt";"2003M11";808
"I alt";"2003M12";734
"I alt";"2004M01";728
"I alt";"2004M02";786
"I alt";"2004M03";925
"I alt";"2004M04";915
"I alt";"2004M05";998
"I alt";"2004M06";1191
"I alt";"2004M07";1090
"I alt";"2004M08";1028
"I alt";"2004M09";1079
"I alt";"2004M10";1016
"I alt";"2004M11";858
"I alt";"2004M12";776
"I alt";"2005M01";784
"I alt";"2005M02";791
"I alt";"2005M03";936
"I alt";"2005M04";938
"I alt";"2005M05";1025
"I alt";"2005M06";1225
"I alt";"2005M07";1165
"I alt";"2005M08";1079
"I alt";"2005M09";1155
"I alt";"2005M10";1103
"I alt";"2005M11";930
"I alt";"2005M12";847
"I alt";"2006M01";824
"I alt";"2006M02";855
"I alt";"2006M03";995
"I alt";"2006M04";986
"I alt";"2006M05";1091
"I alt";"2006M06";1240
"I alt";"2006M07";1228
"I alt";"2006M08";1114
"I alt";"2006M09";1163
"I alt";"2006M10";1126
"I alt";"2006M11";958
"I alt";"2006M12";867
"I alt";"2007M01";885
"I alt";"2007M02";864
"I alt";"2007M03";1096
"I alt";"2007M04";971
"I alt";"2007M05";1129
"I alt";"2007M06";1273
"I alt";"2007M07";1322
"I alt";"2007M08";1193
"I alt";"2007M09";1211
"I alt";"2007M10";1178
"I alt";"2007M11";1004
"I alt";"2007M12";910
"I alt";"2008M01";918
"I alt";"2008M02";972
"I alt";"2008M03";1074
"I alt";"2008M04";1079
"I alt";"2008M05";1179
"I alt";"2008M06";1323
"I alt";"2008M07";1319
"I alt";"2008M08";1189
